token_position,lig_attention_mean,lig_sample_count
0,0.02325253411549739,4715
1,0.021216715227472788,4715
2,0.021133162280740185,4715
3,0.022087976131449954,4715
4,0.021078309733400857,4715
5,0.021373537975271584,4715
6,0.023321430141566478,4715
7,0.021688252171325723,4715
8,0.02289326620018574,4715
9,0.02280805093095877,4710
10,0.023492784427004816,4695
11,0.021725726144151816,4694
12,0.02241524131389022,4692
13,0.026181908970085783,4686
14,0.02185374100409609,4677
15,0.02263137323708811,4667
16,0.021046775933975307,4655
17,0.020755435757958813,4646
18,0.020771566880915308,4616
19,0.020461325609356762,4597
20,0.020902758488859658,4573
21,0.019836535595627855,4532
22,0.019820829466467717,4502
23,0.020636213136861457,4473
24,0.020715050429915477,4419
25,0.020194394601797047,4358
26,0.01916634345888087,4332
27,0.020796211438235724,4291
28,0.0209666629155084,4213
29,0.019248521883927915,4184
30,0.01920595635910249,4142
31,0.017894076798987153,4104
32,0.01841030507345044,4068
33,0.0174799835585728,4024
34,0.017326886538967762,3944
35,0.01818116946470927,3914
36,0.017857938136297713,3868
37,0.017241975719545406,3702
38,0.017166934379933427,3652
39,0.01740379863046369,3590
40,0.016353482794014905,3299
41,0.016584952579280828,3259
42,0.016016674965504355,3188
43,0.015535080995343613,3055
44,0.016075401800979595,2848
45,0.017161835539884263,2751
46,0.015793375812909103,2712
47,0.015613301823348198,2670
48,0.01470603494399165,2589
49,0.01615009452743874,2295
50,0.014278199048687948,2244
51,0.01567072492050111,2201
52,0.013266776655848378,2146
53,0.013862972412587988,2074
54,0.013041373784584821,2024
55,0.014612699870895314,1990
56,0.012275926717667057,1608
57,0.012350356329316742,1569
58,0.01265150672044522,1526
59,0.011977716468973085,1200
60,0.01155987796557479,1140
61,0.011631007167737316,1126
62,0.011585017559699594,1106
63,0.0112774643598381,1067
64,0.011636484377237235,1048
65,0.011349150300678505,1019
66,0.010821708885310604,989
67,0.01083748123905473,966
68,0.011146193530905539,952
69,0.011035693323950694,930
70,0.010651268335377405,849
71,0.012083044029891365,829
72,0.011676185452115488,812
73,0.010368478206501152,805
74,0.010168969683325703,795
75,0.01036622794225621,780
76,0.010726069867352164,763
77,0.010928100063347726,751
78,0.009331095192751352,559
79,0.009130907547402426,542
80,0.009588235082466983,540
81,0.009168381785507362,527
82,0.00921060213348964,515
83,0.008705501892603934,500
84,0.009402874901081573,488
85,0.00924373661554688,484
86,0.008848690765126914,477
87,0.008931050278702156,470
88,0.008800031923506733,460
89,0.008491961782859577,455
90,0.008408551343476001,445
91,0.008381235078904089,422
92,0.00836228784072983,416
93,0.00802843933120186,405
94,0.007949257880022341,397
95,0.00807163343886943,389
96,0.00800899293295346,387
97,0.007713208994730644,382
98,0.008950911059307235,379
99,0.008806360205635428,375
100,0.008366973142458356,374
101,0.008454632638903285,370
102,0.008241061771763009,369
103,0.008005114255696942,366
104,0.008290182876069684,363
105,0.00839295940240845,360
106,0.008309681208487756,359
107,0.008072294653835577,358
108,0.007982534571587412,356
109,0.0077825180376524085,356
110,0.007624457131876022,353
111,0.0076690801485840765,350
112,0.008053127736119287,350
113,0.008254064242328763,348
114,0.008412393919119788,347
115,0.008251380288730497,345
116,0.00860515060308187,345
117,0.008370965975405412,339
118,0.008320540039819453,337
119,0.00821126388006569,329
120,0.00783059932861124,327
121,0.007470983996224057,327
122,0.007583525720328685,327
123,0.0075586583110685505,323
124,0.007826732825956442,318
125,0.007795665125526926,306
