token_position,s4_attnpool_mean,s4_attnpool_count
0,0.018984453100152485,4715
1,0.01657220883900349,4715
2,0.017282303945817673,4715
3,0.02042668427116991,4715
4,0.023455169669565797,4715
5,0.031083255157851843,4715
6,0.034034946828108766,4715
7,0.022420128040897578,4715
8,0.024516090465990605,4715
9,0.025128603856458803,4710
10,0.024473697406517548,4695
11,0.0192460486907575,4694
12,0.026730600100206166,4692
13,0.0513716209476376,4686
14,0.022821611549842677,4677
15,0.025197182133938345,4667
16,0.022676754627171506,4655
17,0.020321505670027423,4646
18,0.021174233231055793,4616
19,0.02039133116592939,4597
20,0.02041114727715983,4573
21,0.017832574183283347,4532
22,0.01699535924875808,4502
23,0.018768640661755865,4473
24,0.01931406794257126,4419
25,0.025337924469959465,4358
26,0.020449406583642298,4332
27,0.019512386708957215,4291
28,0.025378348305854233,4213
29,0.021526330737272285,4184
30,0.022496975426854603,4142
31,0.015389445230292547,4104
32,0.015923831116457794,4068
33,0.01489910980174574,4024
34,0.01551537247480384,3944
35,0.014985127735185153,3914
36,0.015451401691524437,3868
37,0.015917690078948273,3702
38,0.013361191675228486,3652
39,0.016498280419466008,3590
40,0.015190341803616477,3299
41,0.011014206146691229,3259
42,0.011962801090461656,3188
43,0.012286225312394006,3055
44,0.013275864233950609,2848
45,0.019401161996642532,2751
46,0.011002970940270237,2712
47,0.01089399302134702,2670
48,0.010240021183964809,2589
49,0.015387188181716886,2295
50,0.014569831898680117,2244
51,0.012611254108716915,2201
52,0.00978157641679031,2146
53,0.010089059820959407,2074
54,0.012624368475644947,2024
55,0.011941648579279594,1990
56,0.0089404118970202,1608
57,0.010365139805926644,1569
58,0.010073932340080603,1526
59,0.010429244131688999,1200
60,0.010671514976581276,1140
61,0.010681482395403282,1126
62,0.01033886300783986,1106
63,0.00910699630128665,1067
64,0.009175894945024396,1048
65,0.008681311660373796,1019
66,0.009626022397441751,989
67,0.012026754470822748,966
68,0.012468741154842967,952
69,0.00832760622422117,930
70,0.009298477826856626,849
71,0.009213286799211707,829
72,0.009235207558490603,812
73,0.008646519284042177,805
74,0.008443358950340702,795
75,0.008546417697876818,780
76,0.008542729649339713,763
77,0.008160729165149904,751
78,0.010061141825544007,559
79,0.010122413885061158,542
80,0.012370136808112876,540
81,0.008114907558880885,527
82,0.008258509853441105,515
83,0.007409564155357657,500
84,0.008077508799480533,488
85,0.00744077210005013,484
86,0.007643917629049126,477
87,0.007970654968611346,470
88,0.007937267082477616,460
89,0.0075234997397094225,455
90,0.0070410961896577445,445
91,0.008678221931706278,422
92,0.008347184108952906,416
93,0.007194975096165393,405
94,0.008439394729405462,397
95,0.007727297624579995,389
96,0.0070791404923088415,387
97,0.009002821523323167,382
98,0.007988044597075805,379
99,0.008296456320366512,375
100,0.008549414601869244,374
101,0.008149796131545225,370
102,0.006839256559900541,369
103,0.006789097767192845,366
104,0.007062673922661838,363
105,0.008941833570578537,360
106,0.008507318060038013,359
107,0.007917654051269176,358
108,0.008501805646109245,356
109,0.007654306344356678,356
110,0.0072578547709827934,353
111,0.00660151563135774,350
112,0.007560434825302634,350
113,0.007547715980972394,348
114,0.007790440024235366,347
115,0.008672121415851955,345
116,0.008316976852707422,345
117,0.008756629438120611,339
118,0.009296420996422115,337
119,0.008218064189267184,329
120,0.007648512763426915,327
121,0.007565686499859443,327
122,0.006884587089714825,327
123,0.006533668299623507,323
124,0.00652527032800677,318
125,0.006206768329778486,306
